comment_id,docket_id,agency,category,topic,posted_date,submitter_name,submitter_type,word_count,ai_score,ai_assisted,human_score
USCIS-2025-0002-0055,USCIS-2025-0002,USCIS,political_immigration,immigration,2025-03-05,,Unknown,508,1.0,,0.0
USCIS-2025-0002-0083,USCIS-2025-0002,USCIS,political_immigration,immigration,2025-03-06,,Unknown,69,0.0,,1.0
USCIS-2025-0002-0119,USCIS-2025-0002,USCIS,political_immigration,immigration,2025-04-29,,Unknown,638,0.0,,1.0
USCIS-2025-0002-0147,USCIS-2025-0002,USCIS,political_immigration,immigration,2025-05-02,,Unknown,160,1.0,,0.0
USCIS-2025-0002-0144,USCIS-2025-0002,USCIS,political_immigration,immigration,2025-05-01,,Unknown,191,0.0,,1.0
USCIS-2025-0002-0053,USCIS-2025-0002,USCIS,political_immigration,immigration,2025-03-04,,Unknown,76,0.0,,1.0
USCIS-2025-0002-0063,USCIS-2025-0002,USCIS,political_immigration,immigration,2025-03-05,,Unknown,92,1.0,,0.0
USCIS-2025-0002-0093,USCIS-2025-0002,USCIS,political_immigration,immigration,2025-03-17,,Unknown,125,0.0,,1.0
USCIS-2025-0002-0092,USCIS-2025-0002,USCIS,political_immigration,immigration,2025-03-14,,Unknown,212,1.0,,0.0
USCIS-2025-0002-0079,USCIS-2025-0002,USCIS,political_immigration,immigration,2025-03-06,,Unknown,534,1.0,,0.0
USCIS-2025-0002-0084,USCIS-2025-0002,USCIS,political_immigration,immigration,2025-03-07,,Unknown,238,0.0,,1.0
IRS-2025-0002-0024,IRS-2025-0002,IRS,finance,tax,2025-04-02,,Unknown,150,0.0,,1.0
IRS-2025-0002-0064,IRS-2025-0002,IRS,finance,tax,2025-04-09,,Unknown,194,0.0,,1.0
IRS-2025-0002-0036,IRS-2025-0002,IRS,finance,tax,2025-04-04,,Unknown,80,0.0,,1.0
IRS-2025-0002-0014,IRS-2025-0002,IRS,finance,tax,2025-04-02,,Unknown,272,0.0,,1.0
IRS-2025-0002-0030,IRS-2025-0002,IRS,finance,tax,2025-04-04,,Unknown,65,0.0,,1.0
IRS-2025-0002-0048,IRS-2025-0002,IRS,finance,tax,2025-04-08,,Unknown,129,0.0,,1.0
IRS-2025-0002-0006,IRS-2025-0002,IRS,finance,tax,2025-02-24,,Unknown,118,0.0,,1.0
IRS-2025-0002-0015,IRS-2025-0002,IRS,finance,tax,2025-04-02,,Unknown,61,0.0,,1.0
IRS-2025-0002-0018,IRS-2025-0002,IRS,finance,tax,2025-04-02,,Unknown,154,0.0,,1.0
IRS-2025-0002-0020,IRS-2025-0002,IRS,finance,tax,2025-04-02,,Unknown,109,0.0,,1.0
IRS-2025-0002-0176,IRS-2025-0002,IRS,finance,tax,2025-04-11,,Unknown,64,0.0,,1.0
IRS-2025-0002-0163,IRS-2025-0002,IRS,finance,tax,2025-04-11,,Unknown,192,0.0,,1.0
IRS-2025-0002-0047,IRS-2025-0002,IRS,finance,tax,2025-04-08,,Unknown,674,0.0,,1.0
IRS-2025-0002-0043,IRS-2025-0002,IRS,finance,tax,2025-04-08,,Unknown,103,0.0,,1.0
IRS-2025-0002-0123,IRS-2025-0002,IRS,finance,tax,2025-04-10,,Unknown,216,0.0,,1.0
IRS-2025-0002-0116,IRS-2025-0002,IRS,finance,tax,2025-04-10,,Unknown,61,0.0,,1.0
IRS-2025-0002-0110,IRS-2025-0002,IRS,finance,tax,2025-04-10,,Unknown,66,0.0,,1.0
IRS-2025-0002-0114,IRS-2025-0002,IRS,finance,tax,2025-04-10,,Unknown,149,0.0,,1.0
IRS-2025-0002-0270,IRS-2025-0002,IRS,finance,tax,2025-04-11,,Unknown,51,0.0,,1.0
IRS-2025-0002-0046,IRS-2025-0002,IRS,finance,tax,2025-04-08,,Unknown,662,0.0,,1.0
IRS-2025-0003-0002,IRS-2025-0003,IRS,finance,tax,2025-01-15,,Unknown,94,0.0,,1.0
IRS-2025-0003-0003,IRS-2025-0003,IRS,finance,tax,2025-02-05,,Unknown,357,0.0,,1.0
IRS-2025-0003-0009,IRS-2025-0003,IRS,finance,tax,2025-03-14,,Unknown,68,0.0,,1.0
IRS-2025-0003-0024,IRS-2025-0003,IRS,finance,tax,2025-07-03,,Unknown,127,0.0,,1.0
IRS-2025-0003-0021,IRS-2025-0003,IRS,finance,tax,2025-04-01,,Unknown,153,0.0,,1.0
IRS-2025-0003-0005,IRS-2025-0003,IRS,finance,tax,2025-03-10,,Unknown,98,1.0,,0.0
IRS-2025-0004-0003,IRS-2025-0004,IRS,finance,tax,2025-03-26,,Unknown,263,0.0,,1.0
IRS-2025-0004-0013,IRS-2025-0004,IRS,finance,tax,2025-04-15,,Unknown,238,0.0,,1.0
IRS-2025-0004-0004,IRS-2025-0004,IRS,finance,tax,2025-04-04,,Unknown,201,1.0,,0.0
IRS-2025-0004-0002,IRS-2025-0004,IRS,finance,tax,2025-03-04,,Unknown,79,1.0,,0.0
IRS-2025-0004-0014,IRS-2025-0004,IRS,finance,tax,2025-04-15,,Unknown,153,0.0,,1.0
IRS-2025-0005-0023,IRS-2025-0005,IRS,finance,tax,2025-11-20,,Unknown,192,1.0,,0.0
IRS-2025-0005-0005,IRS-2025-0005,IRS,finance,tax,2025-03-10,,Unknown,216,0.0,,1.0
FINCEN-2025-0001-0021,FinCEN-2025-0001,FinCEN,finance,financial,2025-03-31,,Unknown,61,0.0,,1.0
FINCEN-2025-0001-0015,FinCEN-2025-0001,FinCEN,finance,financial,2025-03-28,,Unknown,138,0.0,,1.0
FINCEN-2025-0001-0055,FinCEN-2025-0001,FinCEN,finance,financial,2025-04-21,,Unknown,50,0.0,,1.0
FINCEN-2025-0001-0065,FinCEN-2025-0001,FinCEN,finance,financial,2025-05-12,,Unknown,276,0.0,,1.0
FINCEN-2025-0001-0071,FinCEN-2025-0001,FinCEN,finance,financial,2025-05-21,,Unknown,94,0.0,,1.0
